x y
1.350000000000000000e+01 9.000000000000000000e+00
1.800000000000000000e+01 9.000000000000000000e+00
2.250000000000000000e+01 9.000000000000000000e+00
2.700000000000000000e+01 9.000000000000000000e+00
3.150000000000000000e+01 9.000000000000000000e+00
3.600000000000000000e+01 9.000000000000000000e+00
4.050000000000000000e+01 9.000000000000000000e+00
4.500000000000000000e+01 9.000000000000000000e+00
4.950000000000000000e+01 9.000000000000000000e+00
5.400000000000000000e+01 9.000000000000000000e+00
5.850000000000000000e+01 9.000000000000000000e+00
6.300000000000000000e+01 9.000000000000000000e+00
6.750000000000000000e+01 9.000000000000000000e+00
7.200000000000000000e+01 9.000000000000000000e+00
7.650000000000000000e+01 9.000000000000000000e+00
8.100000000000000000e+01 9.000000000000000000e+00
8.550000000000000000e+01 9.000000000000000000e+00
9.000000000000000000e+01 9.000000000000000000e+00
9.450000000000000000e+01 9.000000000000000000e+00
9.900000000000000000e+01 9.000000000000000000e+00
1.035000000000000000e+02 9.000000000000000000e+00
1.080000000000000000e+02 9.000000000000000000e+00
1.125000000000000000e+02 9.000000000000000000e+00
1.170000000000000000e+02 9.000000000000000000e+00
1.215000000000000000e+02 9.000000000000000000e+00
1.260000000000000000e+02 9.000000000000000000e+00
1.305000000000000000e+02 9.000000000000000000e+00
0.000000000000000000e+00 1.350000000000000000e+01
4.500000000000000000e+00 1.350000000000000000e+01
9.000000000000000000e+00 1.350000000000000000e+01
1.350000000000000000e+01 1.350000000000000000e+01
1.800000000000000000e+01 1.350000000000000000e+01
2.250000000000000000e+01 1.350000000000000000e+01
2.700000000000000000e+01 1.350000000000000000e+01
3.150000000000000000e+01 1.350000000000000000e+01
3.600000000000000000e+01 1.350000000000000000e+01
4.050000000000000000e+01 1.350000000000000000e+01
4.500000000000000000e+01 1.350000000000000000e+01
4.950000000000000000e+01 1.350000000000000000e+01
5.400000000000000000e+01 1.350000000000000000e+01
5.850000000000000000e+01 1.350000000000000000e+01
6.300000000000000000e+01 1.350000000000000000e+01
6.750000000000000000e+01 1.350000000000000000e+01
7.200000000000000000e+01 1.350000000000000000e+01
7.650000000000000000e+01 1.350000000000000000e+01
8.100000000000000000e+01 1.350000000000000000e+01
8.550000000000000000e+01 1.350000000000000000e+01
9.000000000000000000e+01 1.350000000000000000e+01
9.450000000000000000e+01 1.350000000000000000e+01
9.900000000000000000e+01 1.350000000000000000e+01
1.035000000000000000e+02 1.350000000000000000e+01
1.080000000000000000e+02 1.350000000000000000e+01
1.125000000000000000e+02 1.350000000000000000e+01
1.170000000000000000e+02 1.350000000000000000e+01
1.215000000000000000e+02 1.350000000000000000e+01
1.260000000000000000e+02 1.350000000000000000e+01
1.305000000000000000e+02 1.350000000000000000e+01
0.000000000000000000e+00 1.800000000000000000e+01
4.500000000000000000e+00 1.800000000000000000e+01
9.000000000000000000e+00 1.800000000000000000e+01
1.350000000000000000e+01 1.800000000000000000e+01
1.800000000000000000e+01 1.800000000000000000e+01
2.250000000000000000e+01 1.800000000000000000e+01
2.700000000000000000e+01 1.800000000000000000e+01
3.150000000000000000e+01 1.800000000000000000e+01
3.600000000000000000e+01 1.800000000000000000e+01
4.050000000000000000e+01 1.800000000000000000e+01
4.500000000000000000e+01 1.800000000000000000e+01
4.950000000000000000e+01 1.800000000000000000e+01
5.400000000000000000e+01 1.800000000000000000e+01
5.850000000000000000e+01 1.800000000000000000e+01
6.300000000000000000e+01 1.800000000000000000e+01
6.750000000000000000e+01 1.800000000000000000e+01
7.200000000000000000e+01 1.800000000000000000e+01
7.650000000000000000e+01 1.800000000000000000e+01
8.100000000000000000e+01 1.800000000000000000e+01
8.550000000000000000e+01 1.800000000000000000e+01
9.000000000000000000e+01 1.800000000000000000e+01
9.450000000000000000e+01 1.800000000000000000e+01
9.900000000000000000e+01 1.800000000000000000e+01
1.035000000000000000e+02 1.800000000000000000e+01
1.080000000000000000e+02 1.800000000000000000e+01
1.125000000000000000e+02 1.800000000000000000e+01
1.170000000000000000e+02 1.800000000000000000e+01
1.215000000000000000e+02 1.800000000000000000e+01
1.260000000000000000e+02 1.800000000000000000e+01
1.305000000000000000e+02 1.800000000000000000e+01
0.000000000000000000e+00 2.250000000000000000e+01
4.500000000000000000e+00 2.250000000000000000e+01
9.000000000000000000e+00 2.250000000000000000e+01
1.350000000000000000e+01 2.250000000000000000e+01
1.800000000000000000e+01 2.250000000000000000e+01
2.250000000000000000e+01 2.250000000000000000e+01
2.700000000000000000e+01 2.250000000000000000e+01
3.150000000000000000e+01 2.250000000000000000e+01
3.600000000000000000e+01 2.250000000000000000e+01
4.050000000000000000e+01 2.250000000000000000e+01
4.500000000000000000e+01 2.250000000000000000e+01
4.950000000000000000e+01 2.250000000000000000e+01
5.400000000000000000e+01 2.250000000000000000e+01
5.850000000000000000e+01 2.250000000000000000e+01
6.300000000000000000e+01 2.250000000000000000e+01
6.750000000000000000e+01 2.250000000000000000e+01
7.200000000000000000e+01 2.250000000000000000e+01
7.650000000000000000e+01 2.250000000000000000e+01
8.100000000000000000e+01 2.250000000000000000e+01
8.550000000000000000e+01 2.250000000000000000e+01
9.000000000000000000e+01 2.250000000000000000e+01
9.450000000000000000e+01 2.250000000000000000e+01
9.900000000000000000e+01 2.250000000000000000e+01
1.035000000000000000e+02 2.250000000000000000e+01
1.080000000000000000e+02 2.250000000000000000e+01
1.125000000000000000e+02 2.250000000000000000e+01
1.170000000000000000e+02 2.250000000000000000e+01
1.215000000000000000e+02 2.250000000000000000e+01
1.260000000000000000e+02 2.250000000000000000e+01
1.305000000000000000e+02 2.250000000000000000e+01
0.000000000000000000e+00 2.700000000000000000e+01
4.500000000000000000e+00 2.700000000000000000e+01
9.000000000000000000e+00 2.700000000000000000e+01
1.350000000000000000e+01 2.700000000000000000e+01
1.800000000000000000e+01 2.700000000000000000e+01
2.250000000000000000e+01 2.700000000000000000e+01
2.700000000000000000e+01 2.700000000000000000e+01
3.150000000000000000e+01 2.700000000000000000e+01
3.600000000000000000e+01 2.700000000000000000e+01
4.050000000000000000e+01 2.700000000000000000e+01
4.500000000000000000e+01 2.700000000000000000e+01
4.950000000000000000e+01 2.700000000000000000e+01
5.400000000000000000e+01 2.700000000000000000e+01
5.850000000000000000e+01 2.700000000000000000e+01
6.300000000000000000e+01 2.700000000000000000e+01
6.750000000000000000e+01 2.700000000000000000e+01
7.200000000000000000e+01 2.700000000000000000e+01
7.650000000000000000e+01 2.700000000000000000e+01
8.100000000000000000e+01 2.700000000000000000e+01
8.550000000000000000e+01 2.700000000000000000e+01
9.000000000000000000e+01 2.700000000000000000e+01
9.450000000000000000e+01 2.700000000000000000e+01
9.900000000000000000e+01 2.700000000000000000e+01
1.035000000000000000e+02 2.700000000000000000e+01
1.080000000000000000e+02 2.700000000000000000e+01
1.125000000000000000e+02 2.700000000000000000e+01
1.170000000000000000e+02 2.700000000000000000e+01
1.215000000000000000e+02 2.700000000000000000e+01
1.260000000000000000e+02 2.700000000000000000e+01
1.305000000000000000e+02 2.700000000000000000e+01
0.000000000000000000e+00 3.150000000000000000e+01
4.500000000000000000e+00 3.150000000000000000e+01
9.000000000000000000e+00 3.150000000000000000e+01
1.350000000000000000e+01 3.150000000000000000e+01
1.800000000000000000e+01 3.150000000000000000e+01
2.250000000000000000e+01 3.150000000000000000e+01
2.700000000000000000e+01 3.150000000000000000e+01
3.150000000000000000e+01 3.150000000000000000e+01
3.600000000000000000e+01 3.150000000000000000e+01
4.050000000000000000e+01 3.150000000000000000e+01
4.500000000000000000e+01 3.150000000000000000e+01
4.950000000000000000e+01 3.150000000000000000e+01
5.400000000000000000e+01 3.150000000000000000e+01
5.850000000000000000e+01 3.150000000000000000e+01
6.300000000000000000e+01 3.150000000000000000e+01
6.750000000000000000e+01 3.150000000000000000e+01
7.200000000000000000e+01 3.150000000000000000e+01
7.650000000000000000e+01 3.150000000000000000e+01
8.100000000000000000e+01 3.150000000000000000e+01
8.550000000000000000e+01 3.150000000000000000e+01
9.000000000000000000e+01 3.150000000000000000e+01
9.450000000000000000e+01 3.150000000000000000e+01
9.900000000000000000e+01 3.150000000000000000e+01
1.035000000000000000e+02 3.150000000000000000e+01
1.080000000000000000e+02 3.150000000000000000e+01
1.125000000000000000e+02 3.150000000000000000e+01
1.170000000000000000e+02 3.150000000000000000e+01
1.215000000000000000e+02 3.150000000000000000e+01
1.260000000000000000e+02 3.150000000000000000e+01
1.305000000000000000e+02 3.150000000000000000e+01
0.000000000000000000e+00 3.600000000000000000e+01
4.500000000000000000e+00 3.600000000000000000e+01
9.000000000000000000e+00 3.600000000000000000e+01
1.350000000000000000e+01 3.600000000000000000e+01
1.800000000000000000e+01 3.600000000000000000e+01
2.250000000000000000e+01 3.600000000000000000e+01
2.700000000000000000e+01 3.600000000000000000e+01
3.150000000000000000e+01 3.600000000000000000e+01
3.600000000000000000e+01 3.600000000000000000e+01
4.050000000000000000e+01 3.600000000000000000e+01
4.500000000000000000e+01 3.600000000000000000e+01
4.950000000000000000e+01 3.600000000000000000e+01
5.400000000000000000e+01 3.600000000000000000e+01
5.850000000000000000e+01 3.600000000000000000e+01
6.300000000000000000e+01 3.600000000000000000e+01
6.750000000000000000e+01 3.600000000000000000e+01
7.200000000000000000e+01 3.600000000000000000e+01
7.650000000000000000e+01 3.600000000000000000e+01
8.100000000000000000e+01 3.600000000000000000e+01
8.550000000000000000e+01 3.600000000000000000e+01
9.000000000000000000e+01 3.600000000000000000e+01
9.450000000000000000e+01 3.600000000000000000e+01
9.900000000000000000e+01 3.600000000000000000e+01
1.035000000000000000e+02 3.600000000000000000e+01
1.080000000000000000e+02 3.600000000000000000e+01
1.125000000000000000e+02 3.600000000000000000e+01
1.170000000000000000e+02 3.600000000000000000e+01
1.215000000000000000e+02 3.600000000000000000e+01
1.260000000000000000e+02 3.600000000000000000e+01
1.305000000000000000e+02 3.600000000000000000e+01
0.000000000000000000e+00 4.050000000000000000e+01
4.500000000000000000e+00 4.050000000000000000e+01
9.000000000000000000e+00 4.050000000000000000e+01
1.350000000000000000e+01 4.050000000000000000e+01
1.800000000000000000e+01 4.050000000000000000e+01
2.250000000000000000e+01 4.050000000000000000e+01
2.700000000000000000e+01 4.050000000000000000e+01
3.150000000000000000e+01 4.050000000000000000e+01
3.600000000000000000e+01 4.050000000000000000e+01
4.050000000000000000e+01 4.050000000000000000e+01
4.500000000000000000e+01 4.050000000000000000e+01
4.950000000000000000e+01 4.050000000000000000e+01
5.400000000000000000e+01 4.050000000000000000e+01
5.850000000000000000e+01 4.050000000000000000e+01
6.300000000000000000e+01 4.050000000000000000e+01
6.750000000000000000e+01 4.050000000000000000e+01
7.200000000000000000e+01 4.050000000000000000e+01
7.650000000000000000e+01 4.050000000000000000e+01
8.100000000000000000e+01 4.050000000000000000e+01
8.550000000000000000e+01 4.050000000000000000e+01
9.000000000000000000e+01 4.050000000000000000e+01
9.450000000000000000e+01 4.050000000000000000e+01
9.900000000000000000e+01 4.050000000000000000e+01
1.035000000000000000e+02 4.050000000000000000e+01
1.080000000000000000e+02 4.050000000000000000e+01
1.125000000000000000e+02 4.050000000000000000e+01
1.170000000000000000e+02 4.050000000000000000e+01
1.215000000000000000e+02 4.050000000000000000e+01
1.260000000000000000e+02 4.050000000000000000e+01
1.305000000000000000e+02 4.050000000000000000e+01
0.000000000000000000e+00 4.500000000000000000e+01
4.500000000000000000e+00 4.500000000000000000e+01
9.000000000000000000e+00 4.500000000000000000e+01
1.350000000000000000e+01 4.500000000000000000e+01
1.800000000000000000e+01 4.500000000000000000e+01
2.250000000000000000e+01 4.500000000000000000e+01
2.700000000000000000e+01 4.500000000000000000e+01
3.150000000000000000e+01 4.500000000000000000e+01
3.600000000000000000e+01 4.500000000000000000e+01
4.050000000000000000e+01 4.500000000000000000e+01
4.500000000000000000e+01 4.500000000000000000e+01
4.950000000000000000e+01 4.500000000000000000e+01
5.400000000000000000e+01 4.500000000000000000e+01
5.850000000000000000e+01 4.500000000000000000e+01
6.300000000000000000e+01 4.500000000000000000e+01
6.750000000000000000e+01 4.500000000000000000e+01
7.200000000000000000e+01 4.500000000000000000e+01
7.650000000000000000e+01 4.500000000000000000e+01
8.100000000000000000e+01 4.500000000000000000e+01
8.550000000000000000e+01 4.500000000000000000e+01
9.000000000000000000e+01 4.500000000000000000e+01
9.450000000000000000e+01 4.500000000000000000e+01
9.900000000000000000e+01 4.500000000000000000e+01
1.035000000000000000e+02 4.500000000000000000e+01
1.080000000000000000e+02 4.500000000000000000e+01
1.125000000000000000e+02 4.500000000000000000e+01
1.170000000000000000e+02 4.500000000000000000e+01
1.215000000000000000e+02 4.500000000000000000e+01
1.260000000000000000e+02 4.500000000000000000e+01
1.305000000000000000e+02 4.500000000000000000e+01
0.000000000000000000e+00 4.950000000000000000e+01
4.500000000000000000e+00 4.950000000000000000e+01
9.000000000000000000e+00 4.950000000000000000e+01
1.350000000000000000e+01 4.950000000000000000e+01
1.800000000000000000e+01 4.950000000000000000e+01
2.250000000000000000e+01 4.950000000000000000e+01
2.700000000000000000e+01 4.950000000000000000e+01
3.150000000000000000e+01 4.950000000000000000e+01
3.600000000000000000e+01 4.950000000000000000e+01
4.050000000000000000e+01 4.950000000000000000e+01
4.500000000000000000e+01 4.950000000000000000e+01
4.950000000000000000e+01 4.950000000000000000e+01
5.400000000000000000e+01 4.950000000000000000e+01
5.850000000000000000e+01 4.950000000000000000e+01
6.300000000000000000e+01 4.950000000000000000e+01
6.750000000000000000e+01 4.950000000000000000e+01
7.200000000000000000e+01 4.950000000000000000e+01
7.650000000000000000e+01 4.950000000000000000e+01
8.100000000000000000e+01 4.950000000000000000e+01
8.550000000000000000e+01 4.950000000000000000e+01
9.000000000000000000e+01 4.950000000000000000e+01
9.450000000000000000e+01 4.950000000000000000e+01
9.900000000000000000e+01 4.950000000000000000e+01
1.035000000000000000e+02 4.950000000000000000e+01
1.080000000000000000e+02 4.950000000000000000e+01
1.125000000000000000e+02 4.950000000000000000e+01
1.170000000000000000e+02 4.950000000000000000e+01
1.215000000000000000e+02 4.950000000000000000e+01
1.260000000000000000e+02 4.950000000000000000e+01
1.305000000000000000e+02 4.950000000000000000e+01
0.000000000000000000e+00 5.400000000000000000e+01
4.500000000000000000e+00 5.400000000000000000e+01
9.000000000000000000e+00 5.400000000000000000e+01
1.350000000000000000e+01 5.400000000000000000e+01
1.800000000000000000e+01 5.400000000000000000e+01
2.250000000000000000e+01 5.400000000000000000e+01
2.700000000000000000e+01 5.400000000000000000e+01
3.150000000000000000e+01 5.400000000000000000e+01
3.600000000000000000e+01 5.400000000000000000e+01
4.050000000000000000e+01 5.400000000000000000e+01
4.500000000000000000e+01 5.400000000000000000e+01
4.950000000000000000e+01 5.400000000000000000e+01
5.400000000000000000e+01 5.400000000000000000e+01
5.850000000000000000e+01 5.400000000000000000e+01
6.300000000000000000e+01 5.400000000000000000e+01
6.750000000000000000e+01 5.400000000000000000e+01
7.200000000000000000e+01 5.400000000000000000e+01
7.650000000000000000e+01 5.400000000000000000e+01
8.100000000000000000e+01 5.400000000000000000e+01
8.550000000000000000e+01 5.400000000000000000e+01
9.000000000000000000e+01 5.400000000000000000e+01
9.450000000000000000e+01 5.400000000000000000e+01
9.900000000000000000e+01 5.400000000000000000e+01
1.035000000000000000e+02 5.400000000000000000e+01
1.080000000000000000e+02 5.400000000000000000e+01
1.125000000000000000e+02 5.400000000000000000e+01
1.170000000000000000e+02 5.400000000000000000e+01
1.215000000000000000e+02 5.400000000000000000e+01
1.260000000000000000e+02 5.400000000000000000e+01
1.305000000000000000e+02 5.400000000000000000e+01
0.000000000000000000e+00 5.850000000000000000e+01
4.500000000000000000e+00 5.850000000000000000e+01
9.000000000000000000e+00 5.850000000000000000e+01
1.350000000000000000e+01 5.850000000000000000e+01
1.800000000000000000e+01 5.850000000000000000e+01
2.250000000000000000e+01 5.850000000000000000e+01
2.700000000000000000e+01 5.850000000000000000e+01
3.150000000000000000e+01 5.850000000000000000e+01
3.600000000000000000e+01 5.850000000000000000e+01
4.050000000000000000e+01 5.850000000000000000e+01
4.500000000000000000e+01 5.850000000000000000e+01
4.950000000000000000e+01 5.850000000000000000e+01
5.400000000000000000e+01 5.850000000000000000e+01
5.850000000000000000e+01 5.850000000000000000e+01
6.300000000000000000e+01 5.850000000000000000e+01
6.750000000000000000e+01 5.850000000000000000e+01
7.200000000000000000e+01 5.850000000000000000e+01
7.650000000000000000e+01 5.850000000000000000e+01
8.100000000000000000e+01 5.850000000000000000e+01
8.550000000000000000e+01 5.850000000000000000e+01
9.000000000000000000e+01 5.850000000000000000e+01
9.450000000000000000e+01 5.850000000000000000e+01
9.900000000000000000e+01 5.850000000000000000e+01
1.035000000000000000e+02 5.850000000000000000e+01
1.080000000000000000e+02 5.850000000000000000e+01
1.125000000000000000e+02 5.850000000000000000e+01
1.170000000000000000e+02 5.850000000000000000e+01
1.215000000000000000e+02 5.850000000000000000e+01
1.260000000000000000e+02 5.850000000000000000e+01
1.305000000000000000e+02 5.850000000000000000e+01
0.000000000000000000e+00 6.300000000000000000e+01
4.500000000000000000e+00 6.300000000000000000e+01
9.000000000000000000e+00 6.300000000000000000e+01
1.350000000000000000e+01 6.300000000000000000e+01
1.800000000000000000e+01 6.300000000000000000e+01
2.250000000000000000e+01 6.300000000000000000e+01
2.700000000000000000e+01 6.300000000000000000e+01
3.150000000000000000e+01 6.300000000000000000e+01
3.600000000000000000e+01 6.300000000000000000e+01
4.050000000000000000e+01 6.300000000000000000e+01
4.500000000000000000e+01 6.300000000000000000e+01
4.950000000000000000e+01 6.300000000000000000e+01
5.400000000000000000e+01 6.300000000000000000e+01
5.850000000000000000e+01 6.300000000000000000e+01
6.300000000000000000e+01 6.300000000000000000e+01
6.750000000000000000e+01 6.300000000000000000e+01
7.200000000000000000e+01 6.300000000000000000e+01
7.650000000000000000e+01 6.300000000000000000e+01
8.100000000000000000e+01 6.300000000000000000e+01
8.550000000000000000e+01 6.300000000000000000e+01
9.000000000000000000e+01 6.300000000000000000e+01
9.450000000000000000e+01 6.300000000000000000e+01
9.900000000000000000e+01 6.300000000000000000e+01
1.035000000000000000e+02 6.300000000000000000e+01
1.080000000000000000e+02 6.300000000000000000e+01
1.125000000000000000e+02 6.300000000000000000e+01
1.170000000000000000e+02 6.300000000000000000e+01
1.215000000000000000e+02 6.300000000000000000e+01
1.260000000000000000e+02 6.300000000000000000e+01
1.305000000000000000e+02 6.300000000000000000e+01
0.000000000000000000e+00 6.750000000000000000e+01
4.500000000000000000e+00 6.750000000000000000e+01
9.000000000000000000e+00 6.750000000000000000e+01
1.350000000000000000e+01 6.750000000000000000e+01
1.800000000000000000e+01 6.750000000000000000e+01
2.250000000000000000e+01 6.750000000000000000e+01
2.700000000000000000e+01 6.750000000000000000e+01
3.150000000000000000e+01 6.750000000000000000e+01
3.600000000000000000e+01 6.750000000000000000e+01
4.050000000000000000e+01 6.750000000000000000e+01
4.500000000000000000e+01 6.750000000000000000e+01
4.950000000000000000e+01 6.750000000000000000e+01
5.400000000000000000e+01 6.750000000000000000e+01
5.850000000000000000e+01 6.750000000000000000e+01
6.300000000000000000e+01 6.750000000000000000e+01
6.750000000000000000e+01 6.750000000000000000e+01
7.200000000000000000e+01 6.750000000000000000e+01
7.650000000000000000e+01 6.750000000000000000e+01
8.100000000000000000e+01 6.750000000000000000e+01
8.550000000000000000e+01 6.750000000000000000e+01
9.000000000000000000e+01 6.750000000000000000e+01
9.450000000000000000e+01 6.750000000000000000e+01
9.900000000000000000e+01 6.750000000000000000e+01
1.035000000000000000e+02 6.750000000000000000e+01
1.080000000000000000e+02 6.750000000000000000e+01
1.125000000000000000e+02 6.750000000000000000e+01
1.170000000000000000e+02 6.750000000000000000e+01
1.215000000000000000e+02 6.750000000000000000e+01
1.260000000000000000e+02 6.750000000000000000e+01
1.305000000000000000e+02 6.750000000000000000e+01
0.000000000000000000e+00 7.200000000000000000e+01
4.500000000000000000e+00 7.200000000000000000e+01
9.000000000000000000e+00 7.200000000000000000e+01
1.350000000000000000e+01 7.200000000000000000e+01
1.800000000000000000e+01 7.200000000000000000e+01
2.250000000000000000e+01 7.200000000000000000e+01
2.700000000000000000e+01 7.200000000000000000e+01
3.150000000000000000e+01 7.200000000000000000e+01
3.600000000000000000e+01 7.200000000000000000e+01
4.050000000000000000e+01 7.200000000000000000e+01
4.500000000000000000e+01 7.200000000000000000e+01
4.950000000000000000e+01 7.200000000000000000e+01
5.400000000000000000e+01 7.200000000000000000e+01
5.850000000000000000e+01 7.200000000000000000e+01
6.300000000000000000e+01 7.200000000000000000e+01
6.750000000000000000e+01 7.200000000000000000e+01
7.200000000000000000e+01 7.200000000000000000e+01
7.650000000000000000e+01 7.200000000000000000e+01
8.100000000000000000e+01 7.200000000000000000e+01
8.550000000000000000e+01 7.200000000000000000e+01
9.000000000000000000e+01 7.200000000000000000e+01
9.450000000000000000e+01 7.200000000000000000e+01
9.900000000000000000e+01 7.200000000000000000e+01
1.035000000000000000e+02 7.200000000000000000e+01
1.080000000000000000e+02 7.200000000000000000e+01
1.125000000000000000e+02 7.200000000000000000e+01
1.170000000000000000e+02 7.200000000000000000e+01
1.215000000000000000e+02 7.200000000000000000e+01
1.260000000000000000e+02 7.200000000000000000e+01
1.305000000000000000e+02 7.200000000000000000e+01
0.000000000000000000e+00 7.650000000000000000e+01
4.500000000000000000e+00 7.650000000000000000e+01
9.000000000000000000e+00 7.650000000000000000e+01
1.350000000000000000e+01 7.650000000000000000e+01
1.800000000000000000e+01 7.650000000000000000e+01
2.250000000000000000e+01 7.650000000000000000e+01
2.700000000000000000e+01 7.650000000000000000e+01
3.150000000000000000e+01 7.650000000000000000e+01
3.600000000000000000e+01 7.650000000000000000e+01
4.050000000000000000e+01 7.650000000000000000e+01
4.500000000000000000e+01 7.650000000000000000e+01
4.950000000000000000e+01 7.650000000000000000e+01
5.400000000000000000e+01 7.650000000000000000e+01
5.850000000000000000e+01 7.650000000000000000e+01
6.300000000000000000e+01 7.650000000000000000e+01
6.750000000000000000e+01 7.650000000000000000e+01
7.200000000000000000e+01 7.650000000000000000e+01
7.650000000000000000e+01 7.650000000000000000e+01
8.100000000000000000e+01 7.650000000000000000e+01
8.550000000000000000e+01 7.650000000000000000e+01
9.000000000000000000e+01 7.650000000000000000e+01
9.450000000000000000e+01 7.650000000000000000e+01
9.900000000000000000e+01 7.650000000000000000e+01
1.035000000000000000e+02 7.650000000000000000e+01
1.080000000000000000e+02 7.650000000000000000e+01
1.125000000000000000e+02 7.650000000000000000e+01
1.170000000000000000e+02 7.650000000000000000e+01
1.215000000000000000e+02 7.650000000000000000e+01
1.260000000000000000e+02 7.650000000000000000e+01
1.305000000000000000e+02 7.650000000000000000e+01
0.000000000000000000e+00 8.100000000000000000e+01
4.500000000000000000e+00 8.100000000000000000e+01
9.000000000000000000e+00 8.100000000000000000e+01
1.350000000000000000e+01 8.100000000000000000e+01
1.800000000000000000e+01 8.100000000000000000e+01
2.250000000000000000e+01 8.100000000000000000e+01
2.700000000000000000e+01 8.100000000000000000e+01
3.150000000000000000e+01 8.100000000000000000e+01
3.600000000000000000e+01 8.100000000000000000e+01
4.050000000000000000e+01 8.100000000000000000e+01
4.500000000000000000e+01 8.100000000000000000e+01
4.950000000000000000e+01 8.100000000000000000e+01
5.400000000000000000e+01 8.100000000000000000e+01
5.850000000000000000e+01 8.100000000000000000e+01
6.300000000000000000e+01 8.100000000000000000e+01
6.750000000000000000e+01 8.100000000000000000e+01
7.200000000000000000e+01 8.100000000000000000e+01
7.650000000000000000e+01 8.100000000000000000e+01
8.100000000000000000e+01 8.100000000000000000e+01
8.550000000000000000e+01 8.100000000000000000e+01
9.000000000000000000e+01 8.100000000000000000e+01
9.450000000000000000e+01 8.100000000000000000e+01
9.900000000000000000e+01 8.100000000000000000e+01
1.035000000000000000e+02 8.100000000000000000e+01
1.080000000000000000e+02 8.100000000000000000e+01
1.125000000000000000e+02 8.100000000000000000e+01
1.170000000000000000e+02 8.100000000000000000e+01
1.215000000000000000e+02 8.100000000000000000e+01
1.260000000000000000e+02 8.100000000000000000e+01
1.305000000000000000e+02 8.100000000000000000e+01
0.000000000000000000e+00 8.550000000000000000e+01
4.500000000000000000e+00 8.550000000000000000e+01
9.000000000000000000e+00 8.550000000000000000e+01
1.350000000000000000e+01 8.550000000000000000e+01
1.800000000000000000e+01 8.550000000000000000e+01
2.250000000000000000e+01 8.550000000000000000e+01
2.700000000000000000e+01 8.550000000000000000e+01
3.150000000000000000e+01 8.550000000000000000e+01
3.600000000000000000e+01 8.550000000000000000e+01
4.050000000000000000e+01 8.550000000000000000e+01
4.500000000000000000e+01 8.550000000000000000e+01
4.950000000000000000e+01 8.550000000000000000e+01
5.400000000000000000e+01 8.550000000000000000e+01
